rank,title,artist,release,summary,metascore,userscore
137,Only Built 4 Cuban Linx... Pt. II,Raekwon,"September 8, 2009","The Wu-Tang Clan-member releases his fourth solo album featuring such artists as his fellow Wu-Tang Clan members, Jadakiss, Beanie Sigel, Lyfe Jennings, Styles P, Busta Rhymes, and Slick Rick.",88,8.7
138,Memorial,Russian Circles,"October 29, 2013",The fifth full-length release for the Chicago post-rock trio features a guest appearance from Chelsea Wolfe.,88,8.4
139,Song for Our Daughter,Laura Marling,"April 10, 2020",The seventh full-length solo release for the British singer-songwriter was produced with Ethan Johns and Dom Monks.,88,8.7
140,Future Nostalgia,Dua Lipa,"March 27, 2020","The second full-length release for the British pop singer-songwriter features contributions from such artists as Ghosted, Stuart Price, Shakka, Tove Lo, and samples INXS's ""Need You Tonight.""",88,8.8
141,The Witmark Demos: 1962-1964,Bob Dylan,"October 19, 2010",The ninth volume from Bob Dylan's Bootleg Series contains the 47 songs he recorded in 1962-64.,88,7.7
142,Divers,Joanna Newsom,"October 23, 2015",The fourth full-length release for the singer-songwriter features the Prague Philharmonic Orchestra and arrangements by Nico Muhly and David Longstreth.,88,8.2
143,30,Adele,"November 19, 2021","The first full-length release from Adele in six years features production from Ludwig Göransson, Inflo, Tobias Jesso Jr., Greg Kurstin, Max Martin, and Shellback.",88,8.6
144,69 Love Songs,Magnetic Fields,"September 7, 1999","The title says it all. This 3-disc set indeed contains 69 love songs, all penned by Stephin Merritt (whose other projects include The 6ths, Future Bible Heroes, and the Gothic Archies). The Magnetic Fields have evolved into a real ""band,"" including keyboardist Claudia Gonson (also Merritt's manager) and multi-instrumentalist John Woo, and Merritt alternates on vocals with Gonson and additional singers. Despite the almost encyclopedic variety of styles and huge volume of songs, there is surprisingly little filler here.",88,8.8
145,Caligula,Lingua Ignota,"July 19, 2019","The third full-length release for Rhode Island artist Kristin Hayter was mixed by Seth Manchester features contributions from Mike Berdan, Lee Buford, Ted Byrnes, Noraa Kaplan, Sam McKinlay, and Dylan Walker.",88,8.1
146,Ta Det Lugnt,Dungen,"June 21, 2004",This is the third album of psychedelic-rock tunes from Swedish multi-instrumentalist/vocalist Gustav Ejstes.,88,8.6
